first_bug_hit_ratio,second_bug_hit_ratio,file
0.26,0.09,6
0.26,0.1,10
0.26,0.11,3
0.26,0.12,5
0.26,0.13,8
0.26,0.14,9
0.26,0.15,6
0.26,0.16,3
0.26,0.17,9
0.26,0.18,12
0.26,0.19,9
0.26,0.2,4
0.26,0.21,9
0.26,0.22,8
0.26,0.23,6
0.26,0.24,4
0.26,0.25,5
0.26,0.26,3
0.26,0.27,4
0.26,0.28,1
0.26,0.29,1
0.26,0.3,8
0.26,0.31,9
0.26,0.32,5
0.26,0.33,10
0.26,0.34,3
0.26,0.36,5
0.26,0.38,2
0.26,0.41,1
0.26,0.42,2
0.26,0.46,1
0.26,0.47,1
0.26,0.5,1
0.26,0.61,1
0.26,0.68,1
0.26,0.8,1
0.27,0.0,60
0.27,0.01,1
0.27,0.02,8
0.27,0.03,4
0.27,0.04,9
0.27,0.05,13
0.27,0.06,14
0.27,0.07,16
0.27,0.08,24
0.27,0.09,12
0.27,0.1,13
0.27,0.11,16
0.27,0.12,8
0.27,0.13,22
0.27,0.14,12
0.27,0.15,11
0.27,0.16,8
0.27,0.17,13
0.27,0.18,10
0.27,0.19,4
0.27,0.2,11
0.27,0.21,9
0.27,0.22,5
0.27,0.23,6
0.27,0.24,5
0.27,0.25,9
0.27,0.26,5
0.27,0.27,12
0.27,0.28,6
0.27,0.29,11
0.27,0.3,11
0.27,0.31,7
0.27,0.32,3
0.27,0.33,12
0.27,0.35,5
0.27,0.36,7
0.27,0.38,3
0.27,0.39,2
0.27,0.4,13
0.27,0.41,2
0.27,0.42,3
0.27,0.43,3
0.27,0.45,3
0.27,0.47,3
0.27,0.48,1
0.27,0.5,2
0.27,0.53,1
0.27,0.54,1
0.27,0.55,1
0.27,0.6,1
0.27,0.67,2
0.27,0.8,1
0.28,0.0,17
0.28,0.02,1
0.28,0.03,1
0.28,0.04,1
0.28,0.05,8
0.28,0.06,3
0.28,0.07,4
0.28,0.08,12
0.28,0.09,2
0.28,0.1,6
0.28,0.11,6
0.28,0.12,4
0.28,0.13,4
0.28,0.14,6
0.28,0.15,9
0.28,0.16,3
0.28,0.17,9
0.28,0.18,9
0.28,0.19,4
0.28,0.2,4
0.28,0.21,5
0.28,0.22,3
0.28,0.23,6
0.28,0.24,3
0.28,0.25,1
0.28,0.26,1
0.28,0.27,5
0.28,0.28,3
0.28,0.29,2
0.28,0.3,2
0.28,0.31,3
