,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
118,GenericWhitespace,35.0,25275.0,229.0,7496.0,33035.0,0.77,0.23,0.01,0.13,-0.42,0.0,0.01,0.0,0.77,-0.0,-0.01,0.77,0.07,0.0,
119,MethodTypeParameterName,14.0,25412.0,92.0,7517.0,33035.0,0.77,0.23,0.0,0.13,-0.42,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.03,0.0,
120,MissingOverride,10.0,25438.0,66.0,7521.0,33035.0,0.77,0.23,0.0,0.13,-0.42,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.02,0.0,
121,MissingDeprecated,115.0,24729.0,775.0,7416.0,33035.0,0.75,0.23,0.03,0.13,-0.43,0.02,0.03,0.01,0.76,-0.01,-0.03,0.77,0.18,0.0,
122,EmptyCatchBlock,139.0,24559.0,945.0,7392.0,33035.0,0.75,0.23,0.03,0.13,-0.44,0.02,0.04,0.02,0.75,-0.01,-0.03,0.77,0.21,0.0,
123,EqualsAvoidNull,185.0,24227.0,1277.0,7346.0,33035.0,0.74,0.23,0.04,0.13,-0.44,0.02,0.05,0.02,0.75,-0.01,-0.04,0.77,0.26,0.0,
124,MethodLength,257.0,23742.0,1762.0,7274.0,33035.0,0.73,0.23,0.06,0.13,-0.44,0.03,0.07,0.03,0.74,-0.02,-0.06,0.77,0.33,0.0,
125,ModifiedControlVariable,58.0,25105.0,399.0,7473.0,33035.0,0.76,0.23,0.01,0.13,-0.44,0.01,0.02,0.01,0.76,-0.0,-0.01,0.77,0.11,0.0,
126,NoWhitespaceAfter,229.0,23877.0,1627.0,7302.0,33035.0,0.73,0.23,0.06,0.12,-0.46,0.03,0.06,0.03,0.74,-0.02,-0.05,0.77,0.31,0.0,
127,NestedTryDepth,52.0,25121.0,383.0,7479.0,33035.0,0.76,0.23,0.01,0.12,-0.48,0.01,0.02,0.01,0.76,-0.0,-0.01,0.77,0.1,0.0,
128,EmptyStatement,37.0,25227.0,277.0,7494.0,33035.0,0.76,0.23,0.01,0.12,-0.48,0.0,0.01,0.0,0.77,-0.0,-0.01,0.77,0.08,0.0,
129,NoClone,22.0,25342.0,162.0,7509.0,33035.0,0.77,0.23,0.01,0.12,-0.48,0.0,0.01,0.0,0.77,-0.0,-0.01,0.77,0.05,0.0,
130,UpperEll,13.0,25406.0,98.0,7518.0,33035.0,0.77,0.23,0.0,0.12,-0.49,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.03,0.0,
131,EmptyBlock,92.0,24765.0,739.0,7439.0,33035.0,0.75,0.23,0.03,0.11,-0.51,0.01,0.03,0.01,0.76,-0.01,-0.03,0.77,0.17,0.0,
132,SuperClone,9.0,25430.0,74.0,7522.0,33035.0,0.77,0.23,0.0,0.11,-0.52,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.03,0.0,
133,IllegalThrows,12.0,25402.0,102.0,7519.0,33035.0,0.77,0.23,0.0,0.11,-0.54,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.03,0.0,
134,OneTopLevelClass,7.0,25440.0,64.0,7524.0,33035.0,0.77,0.23,0.0,0.1,-0.57,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.02,0.0,
135,OuterTypeNumber,7.0,25440.0,64.0,7524.0,33035.0,0.77,0.23,0.0,0.1,-0.57,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.02,0.0,
136,ThrowsCount,15.0,25364.0,140.0,7516.0,33035.0,0.77,0.23,0.0,0.1,-0.58,0.0,0.01,0.0,0.77,-0.0,-0.0,0.77,0.04,0.0,
137,StringLiteralEquality,8.0,25426.0,78.0,7523.0,33035.0,0.77,0.23,0.0,0.09,-0.59,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.03,0.0,
